layer,distance,elevation
_571a553a_2d52_49dd_b15b_845a9e671e13,145.604788534102,219.9921875
_571a553a_2d52_49dd_b15b_845a9e671e13,146.063347176032,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,146.952011326266,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,147.8406754765,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,148.29923411843,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,149.187898268664,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,150.076562418898,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,150.535121060828,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,151.423785211062,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,152.312449361296,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,152.771008003226,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,153.65967215346,220.06640625
_571a553a_2d52_49dd_b15b_845a9e671e13,154.548336303694,220.0625
_571a553a_2d52_49dd_b15b_845a9e671e13,155.006894945625,220.0625
_571a553a_2d52_49dd_b15b_845a9e671e13,155.895559095859,220.0625
_571a553a_2d52_49dd_b15b_845a9e671e13,156.784223246093,220.0625
_571a553a_2d52_49dd_b15b_845a9e671e13,157.242781888023,220.14453125
_571a553a_2d52_49dd_b15b_845a9e671e13,158.131446038257,220.14453125
_571a553a_2d52_49dd_b15b_845a9e671e13,159.020110188491,220.14453125
_571a553a_2d52_49dd_b15b_845a9e671e13,159.478668830421,220.14453125
_571a553a_2d52_49dd_b15b_845a9e671e13,160.367332980655,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,161.255997130889,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,161.714555772819,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,162.603219923053,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,163.491884073287,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,163.950442715217,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,164.839106865451,220.140625
_571a553a_2d52_49dd_b15b_845a9e671e13,165.727771015686,220.1171875
_571a553a_2d52_49dd_b15b_845a9e671e13,166.186329657616,220.1171875
_571a553a_2d52_49dd_b15b_845a9e671e13,167.07499380785,220.1171875
_571a553a_2d52_49dd_b15b_845a9e671e13,167.963657958084,220.1171875
_571a553a_2d52_49dd_b15b_845a9e671e13,168.422216600014,220.1953125
_571a553a_2d52_49dd_b15b_845a9e671e13,169.310880750248,220.1953125
_571a553a_2d52_49dd_b15b_845a9e671e13,170.199544900482,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,170.670828271994,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,171.559492422228,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,172.448156572463,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,172.906715214393,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,173.795379364627,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,174.684043514861,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,175.142602156791,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,176.031266307025,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,176.919930457259,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,177.378489099189,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,178.267153249423,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,179.155817399657,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,179.614376041587,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,180.503040191821,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,180.961598833751,220.15625
_571a553a_2d52_49dd_b15b_845a9e671e13,181.850262983985,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,182.73892713422,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,183.19748577615,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,184.086149926384,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,184.974814076618,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,185.433372718548,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,186.322036868782,220.11328125
_571a553a_2d52_49dd_b15b_845a9e671e13,187.210701019016,220.08203125
_571a553a_2d52_49dd_b15b_845a9e671e13,187.669259660946,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,188.55792381118,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,189.446587961414,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,189.905146603344,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,190.793810753578,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,191.682474903812,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,192.141033545743,220.109375
_571a553a_2d52_49dd_b15b_845a9e671e13,193.029697695977,220.1015625
_571a553a_2d52_49dd_b15b_845a9e671e13,193.918361846211,220.1015625
_571a553a_2d52_49dd_b15b_845a9e671e13,194.376920488141,220.1015625
